
Nifty_1Hr_OBV_DIV,,,, 
================= 
nsecode,close,per_chg,volume
LT,4047.0,1.43,1849934
SBIN,1054.5,1.13,8622059

BN_1Hr_OBV_DIV,,,, 
============== 
nsecode,close,per_chg,volume
SBIN,1054.5,1.13,8622059

Intraday_Buy_PSAR,,,, 
================= 
nsecode,close,per_chg,volume
BOSCHLTD,42800.0,3.88,116138
MPHASIS,2430.1,2.11,856471
GLENMARK,2259.9,1.57,387691
ICICIGI,1669.1,1.48,3021228
ULTRACEMCO,12190.0,1.16,211134
UNIONBANK,174.9,0.52,12654052
CANBK,128.5,0.39,19040597
CGPOWER,882.1,0.23,2279390
GMRAIRPORT,106.5,-0.06,8423626
SOLARINDS,18395.0,-1.63,66954

Intraday_Volume_Shocker,,,, 
======================= 
nsecode,close,per_chg,volume
IDEA,12.84,-0.47,203735251
HDFCBANK,734.65,-0.99,59307864
NYKAA,333.25,-2.7,33868026
ASHOKLEY,175.87,2.2,29233457
NHPC,78.25,-2.8,26329277
RELIANCE,1280.0,-0.84,24802712
MOTHERSON,154.7,2.45,20470264
JIOFIN,261.95,-1.15,19698232
GAIL,175.0,0.0,12939796
ETERNAL,310.9,-0.48,11956553
KOTAKBANK,397.3,-0.18,11709151
ITC,286.95,-0.71,11503185
MANAPPURAM,363.55,1.95,11432829
PNB,113.55,-0.39,10348187
WIPRO,187.0,0.38,8822314
GMRAIRPORT,106.5,-0.06,8423626
HDFCLIFE,540.5,0.85,7997212
BANDHANBNK,175.4,1.04,7456692
POWERGRID,282.0,-0.49,7393555
INOXWIND,78.55,-0.83,6656727
VMM,111.08,-0.2,5571695
MCX,2598.5,-3.04,5536992
PFC,417.0,-0.71,5124117
BAJFINANCE,1153.1,0.36,5098635
PNBHOUSING,1121.6,3.85,5095617
FEDERALBNK,356.0,-1.78,4973457
AXISBANK,1255.0,-0.54,4242421
MARICO,855.15,-2.27,3917563
SONACOMS,816.9,3.8,3577583
UPL,579.25,-0.46,3368322
RECLTD,365.65,-0.64,3261389
IEX,129.58,0.29,3039857
TCS,2414.2,-1.86,2959929
DELHIVERY,470.15,-2.46,2878165
NESTLEIND,1520.3,0.02,2747877
ABCAPITAL,420.7,0.17,2709078
ADANIPORTS,1692.1,-0.86,2311918
CGPOWER,882.1,0.23,2279390
PATANJALI,355.1,-1.33,2193024
SUNPHARMA,1944.5,-0.99,2135781
LAURUSLABS,1842.7,-0.39,2079123
TECHM,1645.0,-0.21,2052209
UNOMINDA,1253.6,2.17,2041000
M&M,3459.0,0.76,1968537
GODREJPROP,2108.8,3.7,1893645
LT,4047.0,1.43,1849934
HAVELLS,1288.0,-0.54,1545482
CROMPTON,265.1,0.76,1520468
CAMS,811.85,0.3,1392029
TATACONSUM,1088.5,-0.32,1290334
NAUKRI,1231.1,-2.29,1272700
ADANIGREEN,1380.0,-0.29,1211848
MAXHEALTH,1075.0,-0.19,1171275
HINDUNILVR,2084.0,-0.6,1101371
INDIGO,5419.0,1.14,1053758
LICHSGFIN,512.05,0.01,1027950
